id,phase,input,expected_output,max_words,no_go_terms
1,intro,"persona: CEO bij [bedrijfsnaam] in [sector]; aanleiding: koude lead; kanaal: LinkedIn DM; beperkingen: geen bijlagen, geen prijsinfo.","toon: kort en respectvol; inhoud: hypothese over groeikansen en pipeline-inefficiënties; CTA: vraag om 20-min call deze week; extra eisen: benoem een bewijspunt zonder klantnamen.",100,"garantie,risicoloos,gratis"
2,intro,"persona: CMO bij [bedrijfsnaam]; aanleiding: warme referral via [partnernaam]; kanaal: e-mail; beperkingen: maximaal 2 alinea's.","toon: persoonlijk en concreet; inhoud: koppeling aan referral en relevante marketing-KPI's; CTA: voorstel voor 25-min kennismaking; extra eisen: bied 2 tijdslots.",100,"garantie,exclusief"
3,intro,"persona: IT-manager; aanleiding: inbound na whitepaper-download; kanaal: e-mail; beperkingen: verwijs naar resource zonder tracking-taal.","toon: adviserend; inhoud: samenvatting van toepasbare insights; CTA: vraag om technische verkenning van 30 min; extra eisen: vraag naar huidige stack.",110,"100%,risicoloos"
4,intro,"persona: CFO; aanleiding: koude outreach; kanaal: e-mail; beperkingen: focus op unit economics.","toon: financieel onderbouwd; inhoud: drie concrete kostenbesparingscases op hoog niveau; CTA: vraag om 20-min ROI-discussie; extra eisen: geen buzzwords.",100,"gegarandeerde ROI,gratis"
5,intro,"persona: Operations Manager; aanleiding: gesproken op [eventnaam]; kanaal: event follow-up; beperkingen: herinner aan korte chat.","toon: collegiaal; inhoud: haakje naar bottleneck in order-to-cash; CTA: voorstel voor 20-min proces-scan; extra eisen: deel agenda met 3 punten.",100,
6,intro,"persona: Head of Sales; aanleiding: webinar-vraag gesteld; kanaal: e-mail; beperkingen: geen attachments.","toon: oplossingsgericht; inhoud: koppel aan vraag over forecasting; CTA: plan 20-min demo-sneak peek; extra eisen: voeg één link naar publieke help-artikel toe.",100,"gratis,exclusief"
7,intro,"persona: Procurement Manager; aanleiding: tenderverkenning; kanaal: e-mail; beperkingen: pre-kwalificatie vereist.","toon: to the point; inhoud: bevestig relevante certificeringen en referenties op categorie-niveau; CTA: vraag om 15-min screening-call; extra eisen: geen merknamen van concurrenten.",90,"onverslaanbaar,laagste prijs"
8,intro,"persona: COO; aanleiding: contact via branche-community; kanaal: community DM; beperkingen: korte intro.","toon: nuchter; inhoud: hypothese over throughput en cycle time; CTA: vraag om 20-min verkennend gesprek; extra eisen: bied keuze voor Nederlands of Engels.",90,
9,intro,"persona: DPO; aanleiding: vroege security/compliance-vraag; kanaal: e-mail; beperkingen: geen claims, alleen feiten.","toon: zorgvuldig; inhoud: overzicht van datastromen en verwerkersovereenkomsten; CTA: 30-min security-intro met architect; extra eisen: benoem data residency-opties.",120,"onhackbaar,waterdicht,GDPR-proof"
10,intro,"persona: Marketing Manager; aanleiding: koude lead via LinkedIn; kanaal: LinkedIn DM; beperkingen: geen pitches, wel waarde.","toon: behulpzaam; inhoud: deel 3 praktische ideeën voor MQL→SQL handover; CTA: vraag om 20-min sparsessie; extra eisen: vraag naar huidige SLA tussen sales en marketing.",110,
11,intro,"persona: CTO; aanleiding: tooling-heroriëntatie; kanaal: e-mail; beperkingen: technisch beknopt.","toon: technisch en helder; inhoud: high-level architectuurfit en integratiemogelijkheden; CTA: 25-min integratie-check; extra eisen: vraag naar API-rate limits.",110,"plug-and-play"
12,intro,"persona: HR Director; aanleiding: CRM-adoptie-uitdagingen; kanaal: e-mail; beperkingen: change management centraal.","toon: empathisch; inhoud: aanpak voor training en enablement; CTA: voorstel 20-min intake; extra eisen: vraag naar adoptie-KPI's.",100,
13,intro,"persona: Product Manager; aanleiding: inbound interesse voor feedbackloops; kanaal: e-mail; beperkingen: geen verkooptoon.","toon: onderzoekend; inhoud: hoe CRM-signalen roadmap kunnen voeden; CTA: 20-min discovery; extra eisen: vraag naar decision criteria.",100,
14,intro,"persona: Innovation Manager; aanleiding: ontmoeting op [eventnaam]; kanaal: follow-up; beperkingen: max 2 bullets.","toon: visionair maar concreet; inhoud: sales-assist AI use cases voor B2B; CTA: 25-min validatiesessie; extra eisen: benoem ethische randvoorwaarden.",110,"hype,magisch"
15,intro,"persona: Sales Ops Lead; aanleiding: koude outreach; kanaal: e-mail; beperkingen: datakwaliteit als haakje.","toon: pragmatisch; inhoud: voorstel dataclean-up quickscan; CTA: vraag om 20-min intake; extra eisen: bied opt-in voor template.",100,
