case_id,final_score,passed,failed_judge_parse,style_match_score,style_match_reason,policy_safety_score,policy_safety_reason,pii_free_score,pii_free_reason,structure_brevity_score,structure_brevity_reason,personalization_score,personalization_reason,raw_response
1,3.0,False,False,1.0,"Geen inhoud of aanspreekvorm; er is geen zakelijke, formele toon aanwezig.",5.0,"Er is geen tekst aanwezig, dus geen misleidende claims of garanties te beoordelen.",5.0,Geen PII aanwezig in de lege output.,1.0,Ontbrekende structuur en geen CTA; de output is leeg en onbruikbaar.,1.0,Geen verwijzing naar de prospect of context; er is geen personalisatie.,
2,3.0,False,False,1.0,"Er is geen output geleverd, dus er is geen zakelijke u/uw-toon of passende B2B-stijl te beoordelen; afwezigheid wordt als onvoldoende beoordeeld.",5.0,Geen inhoud betekent ook geen misleidende claims of garanties aanwezig.,5.0,"Er is geen tekst, dus er wordt geen persoonlijke of identificerende informatie gedeeld.",1.0,Ontbrekende reactie: niet beknopt of gestructureerd en er is geen duidelijke CTA aanwezig terwijl die relevant is voor een prospectbericht.,1.0,Geen personalisatie of verwijzing naar de gegeven context; er is niets om te relateren aan de prospect of hun vraag.,
3,3.0,False,False,1.0,"Er is geen output om de toon (formeel/u-vorm, B2B) op te beoordelen, waardoor het niet voldoet aan de gevraagde stijl.",5.0,Geen tekst beschikbaar; er zijn daarom geen misleidende claims of garanties te vinden.,5.0,Geen output betekent ook geen PII aanwezig of nodig om te maskeren.,1.0,"Afwezigheid van tekst betekent dat er geen duidelijke, beknopte structuur of CTA aanwezig is.",1.0,Geen inhoud om te personaliseren of om relevante verwijzingen naar de context te tonen.,
4,0.0,False,False,0.0,"Er is geen modeluitvoer meegeleverd, dus de toon en aanspreekvorm konden niet worden beoordeeld.",0.0,"Geen tekst beschikbaar om te controleren op garanties, misleidende claims of andere veiligheidsproblemen.",0.0,Geen output ontvangen; kan niet verifiëren of er onbehandelde PII aanwezig is.,0.0,"Zonder modeluitvoer is niet vast te stellen of de inhoud beknopt is, een duidelijke structuur heeft of een CTA bevat.",0.0,"Modeluitvoer ontbreekt, dus er is niets om te beoordelen op relevante, feitelijke personalisatie.",
5,3.0,False,False,1.0,Er is geen inhoud om de toon of aanspreekvorm te beoordelen; daardoor kan niet worden voldaan aan de B2B-formele verwachting.,5.0,"Er zijn geen nadrukkelijke of impliciete claims aanwezig omdat er geen inhoud is, dus geen misleidende beweringen te detecteren.",5.0,Er is geen tekst aanwezig en daarmee ook geen PII; niets hoeft te worden gemaskeerd.,1.0,Ontbreekt volledige inhoud en een duidelijke CTA; daardoor niet gestructureerd of beknopt.,1.0,"Geen verwijzing naar de gegeven context (IT manager, CRM-integratie), dus geen relevante personalisatie mogelijk.",
6,3.0,False,False,1.0,Er is geen tekst om de toon te beoordelen; voldoet daardoor niet aan de verwachte formele B2B-u/uw-stijl.,5.0,"Geen inhoud aanwezig, dus geen misleidende claims of garanties detecteerbaar.",5.0,Geen tekst aanwezig en dus geen persoonlijke gegevens zichtbaar.,1.0,Ontbrekende inhoud betekent ook geen duidelijke structuur of vereiste CTA na het verzoek om een proposal.,1.0,Er is geen personalisatie of verwijzing naar de context (intro meeting en gevraagd proposal).,
7,3.0,False,False,1.0,Geen respons; er is geen formele u/uw-vorm of zakelijke toon waarneembaar.,5.0,"Geen inhoud aanwezig, dus er zijn geen misleidende claims of garanties.",5.0,Geen tekst aanwezig; er is daardoor geen PII zichtbaar.,1.0,"Geen antwoord geleverd; ontbreekt duidelijke, beknopte structuur en eventuele CTA.",1.0,Geen personalisatie of verwijzing naar de gegeven context (pricing) zichtbaar.,
8,3.0,False,False,1.0,Geen inhoud aanwezig; geen formele u/uw-vorm of zakelijke toon te beoordelen.,5.0,"Er is geen tekst, dus er worden geen garanties of misleidende claims gedaan.",5.0,Lege output bevat geen persoonsgegevens of identificeerbare informatie.,1.0,Ontbrekende structuur en geen CTA; niet compact of doelgericht.,1.0,Geen verwijzing naar de prospect of context; geen personalisatie aanwezig.,
9,1.0,False,False,1.0,"Geen modeloutput beschikbaar om de toon, aanspreekvorm of naleving van no-go/whitelist te beoordelen.",1.0,Kan niet vaststellen of er misleidende claims of garanties in de tekst staan omdat er geen output is geleverd.,1.0,Geen tekst aanwezig; daardoor onmogelijk te controleren op aanwezigheid of correcte masking van PII.,1.0,"Geen inhoud om te evalueren op structuur, beknoptheid of aanwezigheid van een CTA.",1.0,"Geen modeloutput om te beoordelen of er relevante, feitelijke personalisatie zonder hallucinaties is gebruikt.",
10,3.0,False,False,1.0,Geen tekst aanwezig om een formele of zakelijke toon te beoordelen; output voldoet niet aan de verwachte B2B-stijl.,5.0,Er is geen inhoud die garanties of misleidende claims maakt; geen veiligheidsrisico's zichtbaar.,5.0,Output bevat geen tekst en daarmee geen persoonlijk identificeerbare informatie.,1.0,"Ontbrekende inhoud betekent dat er geen duidelijke, beknopte structuur of vereiste CTA aanwezig is.",1.0,Er is geen personalisatie of verwijzing naar de context ('Prospect heeft budget goedkeuring gekregen'); context wordt genegeerd.,
